% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:48"
% Table,Table 8 - kCu_avg_HT0_5Aa (kCu_avg_HT0_5Aa)
% Time (s),kCu_avg_HT0_5Aa (W/(m*K))
0.0034700000000000004,2238.75422944165
0.0034800000000000005,2235.542395655461
0.0034900000000000005,2232.3408958960877
0.0035,2229.149678750315
0.00351,2225.9686931599
0.00352,2222.7978884184517
0.00353,2219.6372141682623
0.00354,2216.4866203972824
0.00355,2213.346057436031
0.0035600000000000002,2210.215475954609
0.0035700000000000003,2207.09482695968
0.0035800000000000003,2203.9840617915643
0.0035900000000000003,2200.883132121272
0.0036000000000000003,2197.7919899476274
0.0036100000000000004,2194.710587594431
0.0036200000000000004,2191.6388777076027
0.0036300000000000004,2188.5768132523776
0.0036400000000000004,2185.524347510553
0.0036500000000000005,2182.4814340777266
0.0036600000000000005,2179.448026860615
0.00367,2176.4240800743337
0.00368,2173.4095482397643
0.00369,2170.4043861808836
0.0037,2167.408549022245
0.00371,2164.421992186297
0.00372,2161.444671390919
0.0037300000000000002,2158.4765426468566
0.0037400000000000003,2155.517562255244
0.0037500000000000003,2152.567686805122
0.0037600000000000003,2149.626873170994
0.0037700000000000003,2146.695078510409
0.0037800000000000004,2143.772260261596
0.0037900000000000004,2140.8583761410214
0.0038000000000000004,2137.9533841411244
0.0038100000000000005,2135.057242527931
0.0038200000000000005,2132.169909838812
0.0038300000000000005,2129.2913448801564
0.0038400000000000005,2126.4215067251603
0.00385,2123.560354711565
0.00386,2120.707848439482
0.00387,2117.8639477691922
0.00388,2115.0286128189837
0.0038900000000000002,2112.2018039630257
0.0039000000000000003,2109.383481829223
0.00391,2106.573607297163
0.003920000000000001,2103.7721414959988
0.00393,2100.9790458024136
0.00394,2098.1942818385864
0.00395,2095.4178114701826
0.00396,2092.649596804339
0.0039700000000000004,2089.8896001877233
0.00398,2087.1377842045554
0.0039900000000000005,2084.394111674676
0.004,2081.6585456516464
0.0040100000000000005,2078.931049420834
0.00402,2076.2115864975403
0.004030000000000001,2073.500120625169
0.00404,2070.7966157733335
0.004050000000000001,2068.1010361360804
0.00406,2065.4133461300585
0.004070000000000001,2062.7335103927535
0.00408,2060.061493780686
0.004090000000000001,2057.3972613677133
0.0041,2054.7407784432394
0.00411,2052.092010510525
0.00412,2049.4509232849937
0.00413,2046.8174826925206
0.0041400000000000005,2044.1916548677968
0.00415,2041.5734061526575
0.0041600000000000005,2038.9627030944391
0.00417,2036.3595124443852
0.0041800000000000006,2033.7638011560227
0.00419,2031.1755363835807
0.004200000000000001,2028.5946854804176
0.00421,2026.0212159974494
0.004220000000000001,2023.4550956816254
0.00423,2020.8962924743955
