Time (s),T_avg_HT0_5Aa (K)
0.00261,31.95701312
0.00262,31.99291682
0.00263,32.02872283
0.00264,32.06443185
0.00265,32.10004459
0.00266,32.13556174
0.00267,32.17098399
0.00268,32.206312
0.00269,32.24154646
0.0027,32.27668801
0.00271,32.31173732
0.00272,32.34669503
0.00273,32.38156179
0.00274,32.41633821
0.00275,32.45102494
0.00276,32.48562259
0.00277,32.52013177
0.00278,32.55455308
0.00279,32.58888713
0.0028,32.62313451
0.00281,32.6572958
0.00282,32.69137158
0.00283,32.72536243
0.00284,32.75926891
0.00285,32.79309159
0.00286,32.82683102
0.00287,32.86048774
0.00288,32.89406232
0.00289,32.92755527
0.0029,32.96096714
0.00291,32.99429845
0.00292,33.02754972
0.00293,33.06072147
0.00294,33.09381422
0.00295,33.12682846
0.00296,33.15976469
0.00297,33.19262342
0.00298,33.22540514
0.00299,33.25811032
0.003,33.29073945
0.00301,33.32329301
0.00302,33.35577146
0.00303,33.38817528
0.00304,33.42050492
0.00305,33.45276084
0.00306,33.48494351
0.00307,33.51705335
0.00308,33.54909083
0.00309,33.58105637
0.0031,33.61295042
0.00311,33.6447734
0.00312,33.67652575
0.00313,33.70820789
0.00314,33.73982023
0.00315,33.77136319
0.00316,33.80283718
0.00317,33.83424261
0.00318,33.86557989
0.00319,33.89684941
0.0032,33.92805157
0.00321,33.95918676
0.00322,33.99025538
0.00323,34.02125779
0.00324,34.0521944
0.00325,34.08306558
0.00326,34.11387169
0.00327,34.14461312
0.00328,34.17529022
0.00329,34.20590337
0.0033,34.23645293
0.00331,34.26693926
0.00332,34.2973627
0.00333,34.32772361
0.00334,34.35802234
0.00335,34.38825924
0.00336,34.41843465
0.00337,34.4485489
0.00338,34.47860234
0.00339,34.5085953
0.0034,34.5385281
0.00341,34.56840108
0.00342,34.59821456
0.00343,34.62796887
0.00344,34.65766432
0.00345,34.68730122
0.00346,34.7168799
0.00347,34.74640066
0.00348,34.77586382
0.00349,34.80526968
0.0035,34.83461853
0.00351,34.8639107
0.00352,34.89314646
0.00353,34.92232612
0.00354,34.95144997
0.00355,34.9805183
0.00356,35.00953141
0.00357,35.03848957
0.00358,35.06739307
0.00359,35.09624219
0.0036,35.12503721
0.00361,35.15377841
0.00362,35.18246606
0.00363,35.21110044
0.00364,35.23968181
0.00365,35.26821045
0.00366,35.29668661
0.00367,35.32511057
0.00368,35.35348258
0.00369,35.38180291
0.0037,35.4100718
0.00371,35.43828952
0.00372,35.46645633
0.00373,35.49457246
0.00374,35.52263818
0.00375,35.55065372
0.00376,35.57861934
0.00377,35.60653527
0.00378,35.63440177
0.00379,35.66221906
0.0038,35.68998739
0.00381,35.71770699
0.00382,35.74537811
0.00383,35.77300096
0.00384,35.80057578
0.00385,35.82810281
0.00386,35.85558226
0.00387,35.88301436
0.00388,35.91039934
0.00389,35.93773743
0.0039,35.96502883
0.00391,35.99227377
0.00392,36.01947246
0.00393,36.04662513
0.00394,36.07373199
0.00395,36.10079324
0.00396,36.1278091
0.00397,36.15477978
0.00398,36.18170549
0.00399,36.20858643
0.004,36.2354228
0.00401,36.26221482
0.00402,36.28896268
0.00403,36.31566658
0.00404,36.34232673
0.00405,36.36894331
0.00406,36.39551653
0.00407,36.42204658
0.00408,36.44853365
0.00409,36.47497794
0.0041,36.50137963
0.00411,36.52773892
0.00412,36.55405599
0.00413,36.58033103
0.00414,36.60656422
0.00415,36.63275575
0.00416,36.6589058
0.00417,36.68501456
0.00418,36.7110822
0.00419,36.73710889
0.0042,36.76309483
0.00421,36.78904018
0.00422,36.81494513
0.00423,36.84080983
0.00424,36.86663448
0.00425,36.89241923
0.00426,36.91816426
0.00427,36.94386974
0.00428,36.96953583
0.00429,36.99516271
0.0043,37.02075054
0.00431,37.04629948
0.00432,37.07180969
0.00433,37.09728135
0.00434,37.12271461
0.00435,37.14810963
0.00436,37.17346657
0.00437,37.19878559
0.00438,37.22406685
0.00439,37.2493105
0.0044,37.27451669
0.00441,37.29968559
0.00442,37.32481734
0.00443,37.3499121
0.00444,37.37497002
0.00445,37.39999124
0.00446,37.42497592
0.00447,37.44992421
0.00448,37.47483625
0.00449,37.49971219
0.0045,37.52455217
0.00451,37.54935634
0.00452,37.57412484
0.00453,37.59885781
0.00454,37.62355541
0.00455,37.64821776
0.00456,37.672845
0.00457,37.69743728
0.00458,37.72199474
0.00459,37.7465175
0.0046,37.77100571
0.00461,37.79545951
0.00462,37.81987902
0.00463,37.84426439
0.00464,37.86861573
0.00465,37.8929332
0.00466,37.91721691
0.00467,37.941467
0.00468,37.9656836
0.00469,37.98986683
0.0047,38.01401683
0.00471,38.03813373
0.00472,38.06221764
0.00473,38.08626869
0.00474,38.11028702
0.00475,38.13427274
0.00476,38.15822598
0.00477,38.18214686
0.00478,38.2060355
0.00479,38.22989202
0.0048,38.25371655
0.00481,38.2775092
0.00482,38.3012701
0.00483,38.32499935
0.00484,38.34869709
0.00485,38.37236342
0.00486,38.39599847
0.00487,38.41960234
0.00488,38.44317516
0.00489,38.46671704
0.0049,38.49022808
0.00491,38.51370842
0.00492,38.53715814
0.00493,38.56057738
0.00494,38.58396624
0.00495,38.60732482
0.00496,38.63065325
0.00497,38.65395162
0.00498,38.67722005
0.00499,38.70045864
0.005,38.72366751
0.005,38.72366751
0.01,47.93639792
0.015,54.74348377
0.02,60.34883524
0.025,65.24086146
0.03,69.67696512
0.035,73.79471588
0.04,77.66937552
0.045,81.34822446
0.05,84.86549842
0.055,88.24779775
0.06,91.51614709
0.065,94.68718096
0.07,97.77409415
0.075,100.7874204
0.08,103.7356281
0.085,106.625554
0.09,109.4627153
0.095,112.2515373
0.1,114.9955254
0.105,117.6973996
0.11,120.3592014
0.115,122.9823843
0.12,125.5718668
0.125,128.1304258
0.13,130.6599713
0.135,133.1621532
0.14,135.6385268
0.145,138.0905591
0.15,140.5196104
0.155,142.9269296
0.16,145.3136607
0.165,147.6808544
0.17,150.0294779
0.175,152.3604243
0.18,154.6745287
0.185,156.9725562
0.19,159.2552137
0.195,161.5231607
0.2,163.777015
0.205,166.0173543
0.21,168.2447184
0.215,170.4596122
0.22,172.6625088
0.225,174.8538522
0.23,177.0340596
0.235,179.2035236
0.24,181.3626137
0.245,183.5116784
0.25,185.6510462
0.255,187.7810276
0.26,189.901916
0.265,192.0139893
0.27,194.1175103
0.275,196.2127283
0.28,198.2998797
0.285,200.3791892
0.29,202.4508702
