% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:47"
% Table,Table 6 - CvG10_avg_HT0_5Aa (CvG10_avg_HT0_5Aa)
% Time (s),CvG10_avg_HT0_5Aa (J/(m^3*K))
0.00198,150998.86600410318
0.00199,151283.06828358345
0.002,151566.2432939027
0.00201,151848.4002106454
0.00202,152129.5480826061
0.00203,152409.69583415228
0.00204,152688.85226753316
0.00205,152967.026065125
0.00206,153244.22579163738
0.0020700000000000002,153520.45989625424
0.0020800000000000003,153795.7367147461
0.0020900000000000003,154070.06447150616
0.0021000000000000003,154343.4512815697
0.0021100000000000003,154615.90515256356
0.0021200000000000004,154887.43398663227
0.0021300000000000004,155158.04558230453
0.00214,155427.74763633264
0.00215,155696.54774547167
0.00216,155964.45340823813
0.00217,156231.47202662803
0.00218,156497.61090778498
0.00219,156762.87726564167
0.0022,157027.27822252444
0.00221,157290.82081072347
0.00222,157553.51197402447
0.00223,157815.35856921613
0.0022400000000000002,158076.36736755833
0.0022500000000000003,158336.54505621849
0.0022600000000000003,158595.89823969087
0.0022700000000000003,158854.43344116394
0.0022800000000000003,159112.15710387545
0.0022900000000000004,159369.0755924394
0.0023000000000000004,159625.1951941389
0.00231,159880.52212018767
0.00232,160135.0625069832
0.00233,160388.82241731143
0.00234,160641.80784155565
0.00235,160894.02469884302
0.00236,161145.4788382056
0.00237,161396.17603969487
0.00238,161646.1220154814
0.00239,161895.3203422936
0.0024000000000000002,162143.7655715396
0.0024100000000000002,162391.45245513815
0.0024200000000000003,162638.38470006245
0.0024300000000000003,162884.56973970818
0.0024400000000000003,163130.0146829143
0.0024500000000000004,163374.72542285972
0.0024600000000000004,163618.7073114381
0.0024700000000000004,163861.96576239067
0.00248,164104.50637257576
0.00249,164346.33470893913
0.0025,164587.4562579618
0.00251,164827.87642437962
0.00252,165067.60054026195
0.00253,165306.63387164986
0.00254,165544.98162937135
0.00255,165782.6489542557
0.00256,166019.64092265983
0.0025700000000000002,166255.96255277414
0.0025800000000000003,166491.61880632685
0.0025900000000000003,166726.6145880001
0.0026000000000000003,166960.9547451448
0.0026100000000000003,167194.64406851842
0.0026200000000000004,167427.68729340634
0.0026300000000000004,167660.08910059743
0.0026400000000000004,167891.8541174435
0.00265,168122.98691863628
0.00266,168353.49202688987
0.00267,168583.3739136919
0.00268,168812.63700015572
0.00269,169041.28565784873
0.0027,169269.32420953785
0.00271,169496.75692990294
0.00272,169723.5880462587
0.0027300000000000002,169949.82173928854
0.0027400000000000002,170175.46214373983
0.0027500000000000003,170400.5133491231
0.0027600000000000003,170624.97940037728
0.0027700000000000003,170848.86429852602
0.0027800000000000004,171072.17200133903
0.0027900000000000004,171294.9064239614
0.0028000000000000004,171517.0714395504
0.0028100000000000004,171738.67087987607
0.00282,171959.70853593358
0.00283,172180.18815852536
0.00284,172400.11345885912
0.00285,172619.48810909985
0.00286,172838.31574293983
0.00287,173056.59995614341
0.00288,173274.34430708984
0.00289,173491.5523173097
0.0029000000000000002,173708.2274719861
0.0029100000000000003,173924.37322048898
0.0029200000000000003,174139.99297686265
0.0029300000000000003,174355.09012032353
0.0029400000000000003,174569.66799574526
0.0029500000000000004,174783.72991413446
0.0029600000000000004,174997.27915309378
0.0029700000000000004,175210.31895729218
0.0029800000000000004,175422.85253890642
0.00299,175634.8830780692
0.003,175846.41372330562
0.00301,176057.4475919584
0.00302,176267.98777061162
0.00303,176478.0373155089
0.00304,176687.59925294964
0.00305,176896.67657969907
0.0030600000000000002,177105.2722633816
0.0030700000000000002,177313.3892428574
0.0030800000000000003,177521.03042860908
0.0030900000000000003,177728.198703126
0.0031000000000000003,177934.89692124978
0.0031100000000000004,178141.12791055275
0.0031200000000000004,178346.89447168607
0.0031300000000000004,178552.1993787403
0.0031400000000000004,178757.045379568
0.0031500000000000005,178961.43519614436
0.00316,179165.37152488614
0.00317,179368.85703698572
0.00318,179571.8943787328
0.00319,179774.4861718216
0.0032,179976.63501367913
0.00321,180178.3434777603
0.00322,180379.61411384962
0.0032300000000000002,180580.4494483672
0.0032400000000000003,180780.85198464998
0.0032500000000000003,180980.8242032503
0.0032600000000000003,181180.3685622097
0.0032700000000000003,181379.48749734156
0.0032800000000000004,181578.1834225076
0.0032900000000000004,181776.45872988732
0.0033000000000000004,181974.31579023376
0.0033100000000000004,182171.7569531601
0.0033200000000000005,182368.78454736347
0.00333,182565.40088090888
0.00334,182761.60824146125
0.00335,182957.40889653857
0.00336,183152.80509375266
0.00337,183347.79906104505
0.00338,183542.39300692693
0.0033900000000000002,183736.5891207096
0.0034000000000000002,183930.38957272758
0.0034100000000000003,184123.79651456568
0.0034200000000000003,184316.81207928722
0.0034300000000000003,184509.4383816365
0.0034400000000000003,184701.6775182694
0.0034500000000000004,184893.53156795545
0.0034600000000000004,185085.00259178935
0.0034700000000000004,185276.09263339595
0.0034800000000000005,185466.80371912583
0.0034900000000000005,185657.1378582683
0.0035,185847.09704323803
0.00351,186036.6832497677
0.00352,186225.89843710122
0.00353,186414.74454819143
0.00354,186603.2235098613
0.00355,186791.33723300934
0.0035600000000000002,186979.08761278435
0.0035700000000000003,187166.4765287511
0.0035800000000000003,187353.50584507748
0.0035900000000000003,187540.17741070723
0.0036000000000000003,187726.49305951514
0.0036100000000000004,187912.45461049682
0.0036200000000000004,188098.0638679161
0.0036300000000000004,188283.3226214713
0.0036400000000000004,188468.23264646356
0.0036500000000000005,188652.7957039493
0.0036600000000000005,188837.01354089254
0.00367,189020.88789032874
0.00368,189204.4204715049
0.00369,189387.61299004374
0.0037,189570.46713807317
0.00371,189752.98459439081
0.00372,189935.16702459377
0.0037300000000000002,190117.01608122484
0.0037400000000000003,190298.5334039151
0.0037500000000000003,190479.7206195188
0.0037600000000000003,190660.57934224748
0.0037700000000000003,190841.1111738132
0.0037800000000000004,191021.31770354375
0.0037900000000000004,191201.2005085331
0.0038000000000000004,191380.76115375594
0.0038100000000000005,191560.00119220186
0.0038200000000000005,191738.92216499744
0.0038300000000000005,191917.52560153298
0.0038400000000000005,192095.8130195791
0.00385,192273.7859254165
0.00386,192451.44581394683
0.00387,192628.79416881187
0.00388,192805.83246251286
0.0038900000000000002,192982.56215652107
0.0039000000000000003,193158.9847013867
0.00391,193335.1015368697
0.003920000000000001,193510.914092019
0.00393,193686.42378530727
0.00394,193861.63202472925
0.00395,194036.54020789848
0.00396,194211.1497221671
0.0039700000000000004,194385.46194472152
0.00398,194559.47824268154
0.0039900000000000005,194733.19997320385
0.004,194906.6284835848
0.0040100000000000005,195079.76511135098
0.00402,195252.61118435985
0.004030000000000001,195425.16802089848
0.00404,195597.436929771
0.004050000000000001,195769.41921039685
0.00406,195941.1161529018
0.004070000000000001,196112.52903820612
0.00408,196283.6591381184
0.004090000000000001,196454.50771542403
0.0041,196625.07602396674
0.00411,196795.3653087392
0.00412,196965.37680597452
0.00413,197135.1117432156
0.0041400000000000005,197304.5713394139
0.00415,197473.75680500502
0.0041600000000000005,197642.6693419899
0.00417,197811.31014400808
0.0041800000000000006,197979.6803964339
0.00419,198147.78127644357
0.004200000000000001,198315.61395309324
0.00421,198483.17958739464
0.004220000000000001,198650.4793323947
0.00423,198817.51433324892
0.004240000000000001,198984.2857272973
0.00425,199150.79464412955
0.004260000000000001,199317.04220566456
0.00427,199483.02952622
0.00428,199648.7577125832
0.00429,199814.2278640776
0.0043,199979.44107263672
0.0043100000000000005,200144.39842286226
0.00432,200309.1009921068
0.0043300000000000005,200473.5498505274
0.00434,200637.746061154
0.004350000000000001,200801.6906799575
0.00436,200965.38475591212
0.004370000000000001,201128.82933105555
0.00438,201292.02544056173
0.004390000000000001,201454.9741127871
0.0044,201617.67636934735
0.004410000000000001,201780.13322516868
0.00442,201942.34568854692
0.004430000000000001,202104.31476121393
0.00444,202266.04143839414
0.00445,202427.52670885331
0.00446,202588.77155496582
0.00447,202749.77695277185
0.0044800000000000005,202910.54387202367
0.00449,203071.07327625042
0.0045000000000000005,203231.3661228061
0.00451,203391.4233629318
0.004520000000000001,203551.2459417969
0.00453,203710.83479856947
0.004540000000000001,203870.19086644382
0.00455,204029.31507271732
0.004560000000000001,204188.20833882838
0.00457,204346.87158040926
0.004580000000000001,204505.30570733582
0.00459,204663.51162377364
0.004600000000000001,204821.49022824073
0.00461,204979.2424136333
0.00462,205136.76906729746
0.0046300000000000004,205294.07107105746
0.00464,205451.14930127645
0.0046500000000000005,205608.00462889046
0.00466,205764.6379194684
0.0046700000000000005,205921.0500332434
0.00468,206077.24182516636
0.004690000000000001,206233.21414494692
0.0047,206388.9678371023
0.004710000000000001,206544.50374099275
0.00472,206699.8226908688
0.004730000000000001,206854.9255159167
0.00474,207009.81304029244
0.004750000000000001,207164.48608317802
0.00476,207318.9454588016
0.004770000000000001,207473.1919764959
0.00478,207627.22644073222
0.00479,207781.04965116348
0.0048000000000000004,207934.6624026499
0.00481,208088.06548532328
0.0048200000000000005,208241.25968460526
0.00483,208394.24578124846
0.0048400000000000006,208547.02455138063
0.00485,208699.59676654154
0.004860000000000001,208851.96319371776
0.00487,209004.12459537404
0.004880000000000001,209156.08172950245
0.00489,209307.83534964456
0.004900000000000001,209459.38620493878
0.00491,209610.73504014974
0.004920000000000001,209761.88259570065
0.00493,209912.82960771615
0.004940000000000001,210063.57680804757
0.00495,210214.12492431118
0.00496,210364.47467992688
0.0049700000000000005,210514.62679413584
0.00498,210664.58198204893
0.0049900000000000005,210814.34095467825
0.005,210963.9044189581
0.005,210963.9044189581
0.01,270046.07424031524
0.015,313413.4801924118
0.02,349022.3130692563
0.025,380069.7637235683
0.030000000000000002,408227.3267164088
0.034999999999999996,434385.38351739617
0.04,459030.2307697877
0.045,482466.19643264776
0.049999999999999996,504912.42194849096
0.055,526538.2711939558
0.06,547476.9838897915
0.065,567833.5048941732
0.07,587690.678112815
0.07500000000000001,607114.2801180064
0.08,626156.8545953318
0.085,644860.4950761993
0.09000000000000001,663258.8399730857
0.095,681378.5267873305
0.1,699240.2851114689
0.10500000000000001,716859.7863570102
0.11,734248.3268676518
0.115,751413.3964499997
0.12000000000000001,768385.2518180937
0.125,785180.2691885973
0.13,801809.2240600507
0.135,818281.2497980461
0.14,834604.9197069476
0.14500000000000002,850788.2891082086
0.15,866838.7686634986
0.155,882763.0900041254
0.16,898567.346785309
0.165,914257.0625781658
0.17,929837.2575107339
0.17500000000000002,945312.5051396483
0.18000000000000002,960687.0345317221
0.185,975964.6506166321
0.19,991148.8084708157
0.195,1006242.6850038362
0.2,1021249.2109557795
0.20500000000000002,1036171.0826876067
0.21000000000000002,1051010.7746218103
0.215,1065770.5571225688
0.22,1080452.5157745732
0.225,1095058.5684034894
0.23,1109590.4792317883
0.23500000000000001,1124049.8711220569
0.24000000000000002,1138438.2367417645
0.245,1152756.9489124378
0.25,1167007.2701176584
0.255,1181190.3611544396
0.26,1195307.2889990644
0.265,1209359.0339931834
0.27,1223346.496440436
0.275,1237270.502677054
0.28,1251131.8101186773
0.28500000000000003,1264931.1134571906
0.29000000000000004,1278669.0494592325
0.295,1292346.2007466739
0.3,1305963.0996128758
0.305,1319520.2320500743
0.31,1333018.041536279
0.315,1346456.9323268034
0.32,1359837.2723955777
0.325,1373159.3962402411
0.33,1386423.6075904367
0.335,1399630.1819469982
0.34,1412779.3689173143
0.34500000000000003,1425871.394382243
0.35000000000000003,1438906.4625395476
0.35500000000000004,1451884.7578365272
0.36,1464806.4467851492
0.365,1477671.67965961
0.37,1490480.5920882623
0.375,1503233.3065526225
0.38,1515929.9337999548
0.385,1528570.5741723059
0.39,1541155.3188556747
0.395,1553684.2510551075
0.4,1566157.4471010456
0.405,1578574.9774910803
0.41000000000000003,1590936.9078701767
0.41500000000000004,1603243.299952893
0.42000000000000004,1615494.212390674
0.425,1627689.7015876162
0.43,1639829.8224674223
0.435,1651914.6291940524
0.44,1663944.17584849
0.445,1675918.5170639986
0.45,1687837.7086219836
0.455,1699701.8080106361
0.46,1711510.8749480583
0.465,1723264.9718719567
0.47000000000000003,1734964.1643974406
0.47500000000000003,1746608.521744675
0.48000000000000004,1758198.1171379574
0.485,1769733.0281777598
0.49,1781213.3371871074
0.495,1792639.131533724
0.5,1804010.503929311
0.505,1815327.5527071934
0.51,1826590.382079629
0.515,1837799.1023759306
0.52,1848953.8302625988
0.525,1860054.6889465859
0.53,1871101.8083628435
0.535,1882095.3253470778
0.54,1893035.3837949296
0.545,1903922.1348085296
0.55,1914755.7368313759
0.555,1925536.3557725816
0.56,1936258.3283565738
0.5650000000000001,1946920.5818459748
0.5700000000000001,1957526.1008381492
0.5750000000000001,1968076.3272306449
0.5800000000000001,1978571.6109056722
0.585,1989011.8864570307
0.59,1999397.0218768993
0.595,2009726.9179685023
0.6,2020001.5085196262
0.605,2030220.7424655259
0.61,2040384.572560793
0.615,2050492.9514523428
0.62,2060545.8318952795
0.625,2070543.165911063
0.63,2080484.9056624186
0.635,2090371.0041763603
0.64,2100201.4154968164
0.645,2109976.094591689
0.65,2119694.997309469
0.655,2129358.0804397934
0.66,2138965.3018129435
0.665,2148516.620378012
0.67,2158011.9962866693
0.675,2167451.3909490057
0.68,2176834.7670791144
0.685,2186162.088750369
0.6900000000000001,2195433.3214578223
0.6950000000000001,2204648.4321764824
0.7000000000000001,2213807.38941212
0.7050000000000001,2222910.163248618
0.71,2231956.7253957093
0.715,2240947.0492362487
0.72,2249881.1098714843
0.725,2258758.884163401
0.73,2267580.3507753224
0.735,2276345.4902111213
0.74,2285054.284853128
0.745,2293706.71899831
0.75,2302302.7788927453
0.755,2310842.452764501
0.76,2319325.730855149
0.765,2327752.6054498595
0.77,2336123.0709059946
0.775,2344437.1236802726
0.78,2352694.7623546226
0.785,2360895.9876606604
0.79,2369040.802502926
0.795,2377129.211980592
0.8,2385161.223408316
0.805,2393136.846335424
0.81,2401056.092564154
0.8150000000000001,2408918.9761666264
0.8200000000000001,2416725.513500594
0.8250000000000001,2424475.4787905747
0.8300000000000001,2432169.2378896824
0.8350000000000001,2439807.436309183
0.84,2447390.3828073195
0.845,2454918.044612466
0.85,2462390.4067267166
0.855,2469807.4832173646
0.86,2477169.3046687967
0.865,2484475.9080799418
0.87,2491727.3327144687
0.875,2498923.6192827425
0.88,2506064.810288506
0.885,2513150.9500144757
0.89,2520182.084785219
0.895,2527158.2630956923
0.9,2534079.5355866128
0.905,2540945.954981287
0.91,2547757.5760492235
0.915,2554514.455596304
0.92,2561216.652460647
0.925,2567864.2275013775
0.93,2574457.243587261
0.935,2580995.7655806043
0.9400000000000001,2587479.860320155
0.9450000000000001,2593909.596606069
0.9500000000000001,2600285.0451862672
0.9550000000000001,2606606.2787414812
0.9600000000000001,2612873.371869339
0.965,2619086.4010678125
0.97,2625245.4447190147
0.975,2631350.58307282
0.98,2637401.898230082
0.985,2643399.4741255953
0.99,2649343.3965106
0.995,2655233.752935165
1,2661070.6327304975
