% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:37"
% Table,Table 4 - CvCu_avg_HT0_5Aa (CvCu_avg_HT0_5Aa)
% Time (s),CvCu_avg_HT0_5Aa (J/(m^3*K))
0.0026100000000000003,295724.0926482304
0.0026200000000000004,296706.55212425796
0.0026300000000000004,297687.4173323021
0.0026400000000000004,298666.69652001065
0.00265,299644.3978608144
0.00266,300620.52945423266
0.00267,301595.0993266462
0.00268,302568.11543248815
0.00269,303539.5856553574
0.0027,304509.5178088716
0.00271,305477.91963741835
0.00272,306444.7988170041
0.0027300000000000002,307410.1629561377
0.0027400000000000002,308374.01959671394
0.0027500000000000003,309336.37621481705
0.0027600000000000003,310297.24022151594
0.0027700000000000003,311256.6189636568
0.0027800000000000004,312214.51972465275
0.0027900000000000004,313170.94972526724
0.0028000000000000004,314125.9161243672
0.0028100000000000004,315079.4260196742
0.00282,316031.4864484948
0.00283,316982.1043884539
0.00284,317931.2867582019
0.00285,318879.0404181277
0.00286,319825.372171043
0.00287,320770.28876286873
0.00288,321713.79688330373
0.00289,322655.90316648915
0.0029000000000000002,323596.61419166066
0.0029100000000000003,324535.93648378784
0.0029200000000000003,325473.8765142074
0.0029300000000000003,326410.4407012433
0.0029400000000000003,327345.63541082526
0.0029500000000000004,328279.4669570925
0.0029600000000000004,329211.94160298177
0.0029700000000000004,330143.0655608239
0.0029800000000000004,331072.84499291447
0.00299,332001.2860120879
0.003,332928.3946822738
0.00301,333854.1770190567
0.00302,334778.6389902151
0.00303,335701.7865162595
0.00304,336623.6254709633
0.00305,337544.1616818872
0.0030600000000000002,338463.40093088493
0.0030700000000000002,339381.3489546176
0.0030800000000000003,340298.01144505286
0.0030900000000000003,341213.394049953
0.0031000000000000003,342127.5023733646
0.0031100000000000004,343040.34197609336
0.0031200000000000004,343951.9183761803
0.0031300000000000004,344862.237049368
0.0031400000000000004,345771.3034295504
0.0031500000000000005,346679.12290923536
0.00316,347585.70083998574
0.00317,348491.0425328619
0.00318,349395.15325885214
0.00319,350298.03824930167
0.0032,351199.70269633876
0.00321,352100.15175328596
0.00322,352999.39053507143
0.0032300000000000002,353897.42411863606
0.0032400000000000003,354794.25754332996
0.0032500000000000003,355689.89581131353
0.0032600000000000003,356584.34388793254
0.0032700000000000003,357477.60670211574
0.0032800000000000004,358369.6891467467
0.0032900000000000004,359260.5960790369
0.0033000000000000004,360150.3323208947
0.0033100000000000004,361038.9026592911
0.0033200000000000005,361926.31184661307
0.00333,362812.5646010233
0.00334,363697.66560680716
0.00335,364581.6195147157
0.00336,365464.4309423061
0.00337,366346.10447427985
0.00338,367226.6446628124
0.0033900000000000002,368106.0560278801
0.0034000000000000002,368984.3430575821
0.0034100000000000003,369861.51020846056
0.0034200000000000003,370737.5619058162
0.0034300000000000003,371612.50254401274
0.0034400000000000003,372486.3364867917
0.0034500000000000004,373359.06806757016
0.0034600000000000004,374230.7015897387
0.0034700000000000004,375101.24132696015
0.0034800000000000005,375970.6915234552
0.0034900000000000005,376839.0563942967
0.0035,377706.3401256885
0.00351,378572.54687524657
0.00352,379437.68077227956
0.00353,380301.7459180542
0.00354,381164.7463860752
0.00355,382026.6862223464
0.0035600000000000002,382887.5694456306
0.0035700000000000003,383747.40004771715
0.0035800000000000003,384606.1819936759
0.0035900000000000003,385463.9192221086
0.0036000000000000003,386320.6156454012
0.0036100000000000004,387176.2751499722
0.0036200000000000004,388030.901596517
0.0036300000000000004,388884.4988202465
0.0036400000000000004,389737.0706311306
0.0036500000000000005,390588.62081413134
0.0036600000000000005,391439.1531294336
0.00367,392288.67131268163
0.00368,393137.1790751987
0.00369,393984.6801042175
0.0037,394831.1780630982
0.00371,395676.676591553
0.00372,396521.17930585437
0.0037300000000000002,397364.68979905936
0.0037400000000000003,398207.2116412141
0.0037500000000000003,399048.74837956455
0.0037600000000000003,399889.3035387649
0.0037700000000000003,400728.88062107906
0.0037800000000000004,401567.4831065862
0.0037900000000000004,402405.11445337534
0.0038000000000000004,403241.77809775155
0.0038100000000000005,404077.4774544182
0.0038200000000000005,404912.2159166793
0.0038300000000000005,405745.99685662735
0.0038400000000000005,406578.82362533093
0.00385,407410.6995530193
0.00386,408241.62794927426
0.00387,409071.6121031999
0.00388,409900.65528361045
0.0038900000000000002,410728.76073920756
0.0039000000000000003,411555.9316987551
0.00391,412382.17137125146
0.003920000000000001,413207.4829461035
0.00393,414031.8695932941
0.00394,414855.3344635557
0.00395,415677.8806885288
0.00396,416499.5113809312
0.0039700000000000004,417320.22963472013
0.00398,418140.038525251
0.0039900000000000005,418958.9411094374
0.004,419776.94042590895
0.0040100000000000005,420594.039495165
0.00402,421410.24131973146
